56	68
161	166
165	180
19	64
18	161
89	139
151	165
56	64
139	146
19	56
26	54
18	166
165	180
35	54
56	64
56	68
161	166
64	168
64	68
151	165
19	56
1	48
18	166
19	64
18	161
120	123
50	66
19	68
68	168
50	66
161	166
56	168
18	161
35	54
24	75
150	174
64	168
151	165
8	62
120	122
18	166
68	168
31	63
150	175
64	168
24	75
150	174
159	174
64	68
18	161
120	123
156	164
40	179
174	175
19	179
18	166
100	128
162	173
24	75
150	165
26	35
161	166
8	30
64	168
64	68
40	179
19	179
18	166
150	159
120	122
68	168
156	164
18	161
19	59
150	174
35	54
64	176
31	63
159	174
1	12
24	75
68	168
63	66
168	176
161	166
8	30
64	168
64	68
19	152
19	179
18	166
150	159
120	122
150	165
154	165
50	63
26	71
156	164
19	59
120	123
159	165
31	63
68	176
50	66
159	174
156	175
1	12
24	75
26	62
63	66
173	174
161	166
8	30
64	168
19	179
18	166
120	122
68	168
18	161
156	164
19	59
120	123
154	173
68	176
62	63
165	180
1	12
35	54
50	61
26	62
161	166
8	30
31	61
26	63
61	63
19	179
18	166
120	122
150	165
26	71
156	164
19	59
159	175
120	123
24	75
8	46
63	71
22	61
101	103
150	165
19	179
161	166
8	30
1	12
152	179
26	63
24	75
120	122
18	68
63	71
120	123
156	164
101	103
120	122
150	165
64	76
26	62
31	61
8	30
1	12
156	164
50	66
24	75
19	59
63	71
120	123
18	68
47	61
161	166
46	50
161	169
150	165
161	166
166	169
8	30
1	12
156	164
24	75
120	122
26	62
47	61
120	123
63	71
95	105
156	178
161	169
62	63
64	76
2	35
165	180
166	169
19	57
161	166
1	12
156	164
24	75
19	59
120	123
19	52
168	176
62	63
64	76
165	180
1	12
24	75
89	139
54	62
19	40
46	50
161	166
19	57
19	52
169	174
156	164
19	59
120	123
139	146
2	35
40	52
50	66
63	71
54	63
40	59
164	169
1	12
24	75
89	139
26	62
126	130
19	57
8	30
19	52
169	174
156	169
61	63
96	101
156	164
120	123
139	146
19	59
40	52
50	66
26	61
96	103
40	59
100	128
62	63
165	180
1	12
24	75
26	62
156	161
19	57
8	30
19	52
26	63
104	120
156	164
120	123
19	59
2	35
40	52
164	167
50	66
126	130
95	115
161	166
2	35
165	180
153	166
8	30
1	12
156	164
24	75
19	59
47	62
50	66
166	174
120	123
100	120
120	122
59	57
165	166
19	57
8	30
164	166
156	164
24	75
19	59
50	66
150	165
47	61
156	166
123	126
94	104
164	166
24	75
89	139
19	57
8	30
19	52
96	106
100	120
156	164
47	61
12	97
113	127
139	146
12	116
161	164
62	63
24	75
30	63
58	130
38	50
8	30
100	120
150	164
164	165
65	73
50	66
156	166
94	125
50	54
100	120
30	50
150	165
62	63
1	12
164	165
8	69
47	61
156	166
150	164
24	75
26	54
100	120
26	35
94	121
1	12
156	164
24	75
105	126
164	165
166	174
52	57
150	164
19	57
26	54
43	72
100	120
119	126
113	118
150	164
31	62
1	12
24	75
8	69
50	66
156	166
62	119
26	35
165	174
24	75
150	165
150	164
31	62
19	57
35	54
164	165
50	66
62	119
26	35
164	165
150	165
150	164
1	12
43	61
35	54
24	75
8	69
63	71
26	35
19	57
164	165
164	180
104	128
19	57
1	12
35	54
24	75
50	66
63	71
22	69
26	35
38	63
43	72
150	165
19	57
1	12
35	54
24	75
8	69
50	66
22	69
38	63
8	69
150	165
1	12
43	72
24	75
24	75
90	147
1	12
35	54
38	71
8	69
63	71
26	35
19	57
43	62
90	147
19	57
1	12
24	75
8	69
8	69
1	12
90	147
24	75
8	69
19	57
26	38
90	147
8	69
19	57
8	69
105	113
12	35
90	147
8	69
105	113
90	147
8	69
24	75
1	12
26	38
8	69
1	12
26	38
1	12
24	75
132	147
24	75
24	75
58	123
89	139
1	12
26	54
31	61
26	54
24	75
1	12
24	75
8	69
1	12
24	75
8	69
24	75
8	69
24	75
8	69
24	75
8	69
1	12
22	69
24	75
1	12
1	12
22	69
22	69
2	22
24	75
50	66
24	75
2	22
24	75
24	75
24	75
24	75
50	66
8	69
2	22
8	69
24	75
8	69
12	35
24	75
12	35
50	66
8	69
12	35
24	75
12	35
22	69
24	75
12	35
50	66
24	75
8	69
166	174
1	12
24	75
2	22
24	75
2	22
24	75
166	174
24	75
2	22
24	75
24	75
24	75
24	75
2	22
2	22
24	75
24	75
24	75
24	75
101	103
24	75
24	75
1	12
1	12
1	12
2	22
24	75
24	75
2	22
12	35
24	75
100	120
12	35
24	75
100	120
2	22
24	75
24	75
50	66
8	69
50	66
24	75
50	66
50	66
24	75
22	69
24	75
22	69
24	75
8	69
50	66
50	66
50	66
24	75
50	66
164	180
2	22
8	69
24	75
24	75
8	69
8	69
24	75
24	75
24	75
24	75
24	75
24	75
24	75
2	22
2	22
22	69
2	22
116	130
24	75
24	75
116	130
116	130
2	22
12	35
116	130
12	35
2	22
24	75
24	75
2	22
12	35
24	75
26	38
24	75
3	52
97	103
3	52
97	103
97	103
58	123
8	69
26	38
8	69
99	103
24	75
116	130
24	75
97	103
2	22
101	103
8	69
7	30
8	69
22	69
24	75
8	69
24	75
2	22
101	103
8	69
3	52
22	69
2	22
8	69
22	69
3	52
24	75
118	128
3	52
118	128
26	54
50	66
2	22
26	54
2	22
26	54
22	69
8	69
31	61
26	54
8	69
24	75
22	69
24	75
22	69
24	75
22	69
24	75
24	75
8	69
19	57
96	106
81	140
96	106
1	12
8	69
50	66
1	12
24	75
67	68
1	12
6	67
22	69
26	54
1	12
24	75
22	69
6	36
55	67
1	12
22	69
24	75
1	12
19	57
6	67
55	67
24	75
6	67
19	57
1	12
24	75
19	57
6	67
24	75
85	94
19	57
6	67
22	69
24	75
19	57
22	69
24	75
24	75
19	57
1	12
8	69
19	36
19	57
24	75
8	69
19	57
24	75
20	94
19	57
24	75
24	75
8	69
19	57
164	180
24	75
6	20
24	75
6	19
6	20
24	75
6	20
24	75
19	20
24	75
6	20
24	75
24	75
24	75
24	75
24	75
1	12
24	75
6	20
8	69
6	20
8	69
6	20
24	75
8	69
8	69
24	75
8	69
19	57
26	54
19	57
24	75
19	57
24	75
6	19
55	67
20	57
24	75
50	66
50	66
50	66
24	75
153	178
50	66
24	75
50	66
164	174
50	66
50	66
24	75
50	66
50	66
50	66
24	75
50	66
50	66
22	69
50	66
22	69
50	66
166	174
22	69
50	66
166	174
50	66
166	174
50	66
166	174
50	66
50	66
50	66
24	75
50	66
63	71
22	69
50	66
63	71
2	22
50	66
50	66
50	66
1	12
50	66
1	12
24	75
50	66
1	12
24	75
12	35
30	47
1	12
24	75
50	66
30	47
12	35
1	12
50	66
1	12
50	66
8	69
50	66
50	66
50	66
50	66
12	35
1	12
8	69
50	66
166	174
24	75
8	69
50	66
22	69
50	66
22	69
50	66
8	69
50	66
26	38
50	66
50	66
50	66
22	69
8	69
50	66
22	69
50	66
